Item Type,Category,Description,Base Margin
Cosmetics,Personal Care,Beauty and grooming products,0.35
Vegetables,Food,Fresh produce and vegetables,0.20
Baby Food,Food,Infant nutrition and baby products,0.25
Cereal,Food,Breakfast grains and cereals,0.30
Clothes,Apparel,Men and women clothing,0.40
Household,Home,Household utilities and goods,0.28
Meat,Food,Poultry, beef, and other meats,0.22
Office Supplies,Stationery,School and office use supplies,0.33
Fruits,Food,Fresh seasonal fruits,0.24
Snacks,Food,Packaged snack foods,0.27
